Aachen	ɑː k eː n
ni	n ĩ́
ni	n ĩ́
ni	n ĩ̄
ni	n ĩ̄
ni	n i ˧
ni	n i ˧
Nicke	² n ɪ k ɛ
Niger	n iː ɡ ɛ r
Nigeria	n ɪ ˈɡ eː r ɪ a
nigger	ˈn ɪ ɡː e r
nilgås	ˌn iː l ˈɡ oː s
nilgås	/ e n . w i k t i o n a r y . o r g
nim	n ɪ m
nim	/ e n . w i k t i o n a r y . o r g
nim	/ e n . w i k t i o n a r y . o r g
nimma	² n ɪ m a
nio	ˈn iː ˌʊ
nio	ˈn iː ˌɛ
nionde	ˈn iː ˌɔ n d ɛ
nittio	² n ɪ t ɪ . ʊ
nitton	ˈn ɪ ˌt ɔ n
nja	n j ɑː
nja	n j a
njalla	² n j a l a
njalla	ˈn j a l a
njalla	/ e n . w i k t i o n a r y . o r g
njalla	/ e n . w i k t i o n a r y . o r g
njalla	/ e n . w i k t i o n a r y . o r g
njure	² n j ʉː r ɛ
njut	n j ʉː t
njut	/ e n . w i k t i o n a r y . o r g
njut	/ e n . w i k t i o n a r y . o r g
njut	/ e n . w i k t i o n a r y . o r g
njuta	² n j ʉː t a
njuta	/ e n . w i k t i o n a r y . o r g
njöt	n j øː t
nobba	² n ɔ b a
nobba	/ e n . w i k t i o n a r y . o r g
nobben	ˈn ɔ b ɛ n
nobben	/ e n . w i k t i o n a r y . o r g
Nobel	n ʊ ˈb ɛ l
noll	n ɔ l
nominativ	ˈn ʊ m ɪ n a t iː v
nord	n uː ɖ
nordbo	² n uː r d ˌb uː
Nordkorea	² n uː ɖ k ʊ ˌr eː a
nordsångare	n uː r d ˈs ɔ ŋ a r ɛ
Norge	ˈn ɔ r j ɛ
norr	n ɔ rː
Norrköping	² n ɔ rː ˌɕ øː p ɪ ŋ
Norrmalmstorgssyndrom	ˌn ɔ r m a l m s ² t ɔ r j s . s ʏ n ˌd r oː m
norrman	/ e n . w i k t i o n a r y . o r g
norska	² n ɔ ʂ k a
not	ˈn uː t
november	n ʊ ˈv ɛ m b ɛ r
nu	n ʉː
nu	n u
nu	n u
nu	n u ˧
nummer	¹ n ɵ m ɛ r
nunatak	ˌn ʉ̟ː n a ˈt a k
nunatak	/ e n . w i k t i o n a r y . o r g
nusvenska	² n ʉ̟ː ˌs v ɛ n s k a
ny	n yː
ny	n yː
ny	n ø ʏ̯ː
ny	n ʊ i̯ː
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
ny	/ e n . w i k t i o n a r y . o r g
nya	² n yː ˌa
nyckel	² n ʏ k ɛ l
nying	² n yː ɪ ŋ
nying	/ e n . w i k t i o n a r y . o r g
nypa	ˈn yː ˌp a
nypon	ˈn yː ˌp ɔ n
nyps	ˈn yː p s
nyps	ˈn ʏ p s
nyss	n ʏ s
nyss	/ e n . w i k t i o n a r y . o r g
nyttig	² n ʏ t ɪ ɡ
nytänkande	² n yː ˌt ɛ ŋ k a n d e
nä	n ɛː
näbbdjur	n ɛ b . j ʉː r
näckros	² n ɛ k r uː s
nämen	n ɛ m ɛ n
nännas	² n ɛ n a s
nännas	/ e n . w i k t i o n a r y . o r g
näsa	ˈn ɛː s ˌa
nästkusin	² n ɛ s t k ɵ ˌs iː n
nästkusin	ˈn ɛ s t k ɵ ˌs iː n
nästkusin	ˈn ɛ s t k ɵ ˌs iː n
nätter	n ɛ tː ə r
nå	n oː
någon	ˈn oː ˌɡ ɔ n
någon	ˈn ɔ n
något	ˈn oː ˌɡ ɔ t
något	ˈn ɔ t
några	ˈn oː ˌɡ r a
nål	n oː l
nålginst	n oː l ˈɡ ɪ n s t
nåt	ˈn oː t
nåt	ˈn ɔ t
nåt	n ɑ tː
nåt	n ɒ tː
nåt	n ɔ tː
nåt	n ɔ t
nåt	n ɔː t
nåt	/ e n . w i k t i o n a r y . o r g
nåt	/ e n . w i k t i o n a r y . o r g
nåt	/ e n . w i k t i o n a r y . o r g
nåt	ˈn ɔ t
nåt	n ɑ tː
nåt	n ɒ tː
nåt	n ɔ tː
nåt	n ɔ t
nåt	n ɔː t
nåt	/ e n . w i k t i o n a r y . o r g
nåt	/ e n . w i k t i o n a r y . o r g
nåt	/ e n . w i k t i o n a r y . o r g
nått	ˈn ɔ t
nödrim	ˈn øː d ˌr ɪ m
nödvändig	ˈn øː d ˌv ɛ n d ɪ ɡ
nödvändighet	ˈn øː d v ɛ n d ɪ ɡ ˌh eː t
nörd	n øː r d
nörd	n ø ɾ d
nörd	n ø ɾ d
nördig	n øː r d ɪ ɡ
nöt	n øː t
nötkråka	n øː t ˈk r oː k a
nött	n œ t
o	uː
o	uː
o	ʊ
o	oː
o	ɔ
o	ʔ o
o	ˈo
o	o
o	o
o	oː
o	o
o	o
o	o
o	o
o	oː
o	oː
o	ɔ
o	oː
o	oː
o	ɔ
o	ō
o	ō
o	ó
o	ō
o	ó
o	ō
o	ó
o	ō
o	ò
o	ò
o	ʔ o ˨˦
o	o ˧
o	uː
o	ʊ
o	oː
o	ɔ
o	ʔ o
o	ˈo
o	o
o	o
o	oː
o	o
o	o
o	o
o	o
o	oː
o	oː
o	ɔ
o	oː
o	oː
o	ɔ
o	ō
o	ō
o	ó
o	ō
o	ó
o	ō
o	ó
o	ō
o	ò
o	ò
o	ʔ o ˨˦
o	o ˧
obelisk	o b ɛ l ɪ s k
obelisk	/ e n . w i k t i o n a r y . o r g
objekt	ɔ b ˈj ɛ k t
objektiv	ˈɔ b j ɛ k t iː v
obskyr	ɔ b ˈs k yː r
obskyr	/ e n . w i k t i o n a r y . o r g
och	ɔ
och	ɔ kː
ock	ɔ k
ock	/ e n . w i k t i o n a r y . o r g
odjur	² uː ˌj ʉː r
offert	ʊ ˈf æ ʈ
offert	ɔ ˈf æ ʈ
offert	/ e n . w i k t i o n a r y . o r g
officiell	ˌɔ f i s ˈj ɛ lː
offside	ɔ f ˈs a j d
oflyt	/ e n . w i k t i o n a r y . o r g
oflyt	/ e n . w i k t i o n a r y . o r g
oflyt	/ e n . w i k t i o n a r y . o r g
Ogge	² ɔ ɡ ɛ
ogilla	² uː ˌj ɪ l a
ohemul	ˈuː h e ˌmː ʉ l
ohygglig	ʊ ˈh ʏ ɡ . l ɪ ɡ
okapabel	² uː k a ˌp ɑː b ɛ l
okej	ɔ ˈk ɛ j
okej	ʊ ˈk ɛ j
okej	/ e n . w i k t i o n a r y . o r g
oklar	ˈuː k l ɑː r
oktober	ʊ k ˈt uː b ɛ r
oktober	ʊ k ˈt ʊ b ɛ r
okynnesäta	² uː ɕ ʏ n ɛ s ˌɛː t a
olaglig	uː ˈl ɑː ɡ l ɪ ɡ
Olle	² ʊ lː ɛ
olle	² ʊ l ɛ
olle	/ e n . w i k t i o n a r y . o r g
ollon	ˈɔ l ˌɔ n
Olof	² uː l ɔ f
Olof	ˈuː l ɔ f
Olof	² uː l ɔ v
Olof	ˈuː l ɔ v
Olof	² uː l ɔ v
Olof	ˈuː l ɔ v
olycka	² uː ˌl ʏ kː a
olycklig	² uː ˌl ʏ k l ɪ ɡ
om	ɔ m
om	o m ˧
om	o m ˧
om	o m ˧
om	o m ˧
ombudsman	ˈɔ m . b ʉː d s ˌm a n
ombudsman	o m . b u d s . m ɑ n
omfång	ˈɔ m ˌf ɔ ŋ
omljud	² ɔ m ˌj ʉ̟ː d
omständig	² ɔ m ˌs t ɛ n d ɪ ɡ
omständlig	² ɔ m ˌs t ɛ n d l ɪ ɡ
omöjlig	² uː ˌm ø j l ɪ ɡ
onsdag	ˈʊ n s d ɑː ɡ
onsdag	ˈʊ n s d a
orange	ʊ ˈr a n ɕ
orange	ʊ ˈr a ŋ ɧ
orange	ʊ ˈr a n ɕ t
orange	ʊ ˈr a ŋ ɧ t
orange	ʊ ˈr a n ɕ ɛ
orange	ʊ ˈr a ŋ ɧ ɛ
orange	ʊ ˈr a n ɕ a
orange	ʊ ˈr a ŋ ɧ a
orange	ʊ ˈr a n ɕ t
orange	ʊ ˈr a ŋ ɧ t
orange	ʊ ˈr a n ɕ ɛ
orange	ʊ ˈr a ŋ ɧ ɛ
orange	ʊ ˈr a n ɕ a
orange	ʊ ˈr a ŋ ɧ a
orange	ʊ ˈr a n ɕ ɛ
orange	ʊ ˈr a ŋ ɧ ɛ
orange	ʊ ˈr a n ɕ a
orange	ʊ ˈr a ŋ ɧ a
orange	ʊ ˈr a n ɕ a
orange	ʊ ˈr a ŋ ɧ a
ord	ˈuː r d
ord	/ e n . w i k t i o n a r y . o r g
ordbok	² uː r d . ˌb uː k
ordbok	/ e n . w i k t i o n a r y . o r g
orden	ˈɔ r d ɛ n
orden	ˈuː r d ɛ n
orden	ˈuː r d ɛ n
ordentlig	ʊ ˈɖ ɛ n t l ɪ ɡ
ordentlig	ʊ ˈɖ ɛ ŋ k l ɪ ɡ
order	ˈɔ r d ɛ r
ordning	ˈɔ r d n ɪ ŋ
ordning	/ e n . w i k t i o n a r y . o r g
orientering	ɔ r j ɛ n ¹ t eː r ɪ ŋ
orientseglare	ˌɔ ɾ ɪ j ɛ n t ˈs eː ɡ l a ɾ ɛ
orientseglare	/ e n . w i k t i o n a r y . o r g
orienttalgoxe	o r i j ɛ n t a l ˈj o k s ɜ
orienttalgoxe	/ e n . w i k t i o n a r y . o r g
orientvadarsvala	ˌɔ r j ɛ n t v ɑː d a r ˈs v ɑː l a
orka	ˈɔ r ˌk a
orkan	ʊ r ˈk ɑː n
orm	ˈʊ r m
orma	ˈʊ r m a
ormörn	ʊ r m ˈøː r n
ort	ʊ ʈː
osa	² uː ˌs a
Oscar	¹ ɔ s k a r
Oskar	¹ ɔ s k a r
Oslo	ˈʊ s l ʊ
Oslo	o s ɫ o
oss	ɔ s
ost	/ e n . w i k t i o n a r y . o r g
osäker	ˈuː ˌs ɛː k ɛ r
otagbar	² uː t ɑː ɡ ˌb ɑː r
otålig	² uː ˌt oː l ɪ ɡ
ovan	uː . v ɑː n
ovan	ˈoː ˌv a n
ovan	ˈoː ˌv a n
Ove	² uː v ɛ
overall	ɔ v ɛ ˈr oː l
overall	ɔ v ɛ ˈr a l
overall	ʊ v ɛ ˈr oː l
overall	ʊ v ɛ ˈr a l
oxid	ɔ k ˈs iː d
oxid	/ e n . w i k t i o n a r y . o r g
oändlig	ʊ ˈɛ n d l ɪ ɡ
page	p ɑː ɧ
paj	p a j
paj	p a ˥˧
paj	p a ˥˧
paket	p a k eː t
paket	p a . c e t
paket	p a . c e t
palats	p a l ˈa tː s
palladium	p a ˈl ɑː d ɪ ɵ m
palmduva	ˈp a l m ˌd ʉː v a
pals	p a lː s
pals	/ e n . w i k t i o n a r y . o r g
paludarium	p ɑː l ɵ ˈd ɑː r ɪ ˌɵ m
panda	ˈp a n d a
panda	k͡p á . ŋ́ . d ā
panda	k͡p á . ŋ́ . d ā
panpsykism	² p a n p s yː k ˌɪ s m
panteon	ˈp a n t e ʊ n
panteon	p ɑ n t ɛ ˈo n
pantoffel	p a n ˈt ɔ f ɛ l
pantoffel	/ e n . w i k t i o n a r y . o r g
papegojalka	p a p ɛ ˌɡ ɔ j ˈa l k a
pappa	/ e n . w i k t i o n a r y . o r g
papper	² p a pː ɛ r
paraply	p a r a ¹ p l yː
parentes	p a r a ŋ ˈt eː s
parentes	p a r a n ˈt eː s
parentes	p a r ɛ n ˈt eː s
Paris	p a ˈr iː s
Paris	p aː ɾ i s
Paris	p aː ɾ i s
part	p ɑː ʈ
part	/ e n . w i k t i o n a r y . o r g
partiell	p a r ˈɕ ɛ l
passage	p a ˈs ɑː ʂ
passage	p a ˈs ɑː ɧ
passagerare	p a s a ² ɧ eː ˌr a r ɛ
pastej	p a s t ɛ j
pastej	/ e n . w i k t i o n a r y . o r g
patent	p a ˈt ɛ n t
Paul	ˈp oː l
Paulina	p a͜ʊ ² l iː n a
paus	p a ʊ̯ s
pava	² p ɑː v a
pava	/ e n . w i k t i o n a r y . o r g
pax	p a k s
ped	p eː d
ped	p e d
ped	p e d
peda	p eː d
peda	ˈp e . d a
peda	ˈp e . d̪ a
pedagog	p e d a ˈɡ oː ɡ
pekoral	p e k ʊ r ˈɑː l
peng	ˈp ɛ ŋː
pension	p a n ˈɧ uː n
penultima	p e n ˈɵ l t ɪ m a
pep	p eː p
peppar	ˈp ɛ pː a r
period	p ɛ rː j uː d
period	/ e n . w i k t i o n a r y . o r g
persilja	p ɛ r ˈs ɪ l j a
persilja	ˈp ɛ r ˌs ɪ l j a
person	p ɛ r ˈs uː n
person	ˈp ɛ r s ɔ n
person	ˈp ɛ r s ɔ n
personal	/ e n . w i k t i o n a r y . o r g
personlig	p ɛ ˈʂ oː n l ɪ ɡ
personligen	p ɛ r ˈs uː n l ɪ ɡ ɛ n
Peter	p e t ə r
Peter	p ɛ t ə r
Peter	p ɛ t ə r
picka	² p ɪ k a
picka	/ e n . w i k t i o n a r y . o r g
picka	/ e n . w i k t i o n a r y . o r g
pigg	p ɪ ɡː
pille	ˈp ɪ ˌl ɛ
pille	ˈp i l . l ɛ
pille	ˈp i l . l e
pin	ˈp iː n
pin	ˈp iː n
pin	ˈp ɪ n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p ɪ n
pin	p ɪ n
pin	p i n̪
pin	p ɪ n
pin	k͡p ĩ̄
pin	k͡p ĩ́
pin	ˈp iː n
pin	ˈp ɪ n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p ɪ n
pin	p ɪ n
pin	p i n̪
pin	p ɪ n
pin	k͡p ĩ̄
pin	k͡p ĩ́
pin	ˈp ɪ n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p iː n
pin	p ɪ n
pin	p ɪ n
pin	p i n̪
pin	p ɪ n
pin	k͡p ĩ̄
pin	k͡p ĩ́
pinje	p ɪ n j ɛ
pipare	ˈp iː p a ɾ ɛ
pipare	/ e n . w i k t i o n a r y . o r g
piparsnäppa	ˌp iː p a r ˈs n ɛ p a
piparsnäppa	/ e n . w i k t i o n a r y . o r g
piper	ˈp iː p ɛ r
pirog	p ɪ r oː ɡ
pizza	² p ɪ t s a
pjäs	p j ɛː s
pladdra	² p l a dː r a
planta	ˈp l a n ˌt a
planta	/ e n . w i k t i o n a r y . o r g
platina	ˈp l ɑː t ɪ n a
platt	p l a tː
plocka	² p l ɔ k a
plocka	/ e n . w i k t i o n a r y . o r g
plocka	/ e n . w i k t i o n a r y . o r g
plundring	² p l ɵ n d ˌr ɪ ŋ
pluskvamperfekt	ˈp l ɵ s k v a m p ɛ r f ɛ k t
plös	p l øː s
plös	/ e n . w i k t i o n a r y . o r g
podd	ˈp ɔ d
pojk	ˈp ɔ j k
pojk	/ e n . w i k t i o n a r y . o r g
pojkar	ˈp ɔ j ˌk a r
pojke	² p ɔ j k ɛ
pojken	/ e n . w i k t i o n a r y . o r g
pokal	p ʊ ˈk ɑː l
pol	p uː l
polarvarg	p ʊ ² l ɑː r ˌv a r j
politik	p ʊ l ɪ ˈt iː k
politik	/ e n . w i k t i o n a r y . o r g
politiker	p ʊ ˈl iː t ɪ k ɛ r
politiker	p ʊ l ɪ ˈt iː k ɛ r
politiker	p ʊ l ɪ ˈt iː k ɛ r
polska	² p oː l s k a
polska	² p ɔ l s k a
polska	² p ɔ l s k a
polska	² p ɔ l s k a
ponke	² p ɔ ŋ k ɛ
ponke	/ e n . w i k t i o n a r y . o r g
pool	p uː l
pool	/ e n . w i k t i o n a r y . o r g
post	p ɔ s t
post	p o u s t
post	p o u s t
post	p oː s d
post	p oː s d
post	p oː s d
post	p ɔ s d
post	p ɔ s d
post	/ e n . w i k t i o n a r y . o r g
postavi	p ɔ s t ˈɑː ˌv iː
potatiskorv	p ʊ ² t ɑː t ɪ s ˌk ɔ r v
poäng	/ e n . w i k t i o n a r y . o r g
poäng	/ e n . w i k t i o n a r y . o r g
poäng	/ e n . w i k t i o n a r y . o r g
praktejder	ˌp ɾ a k t ˈɛ j d ɛ ɾ
praktejder	/ e n . w i k t i o n a r y . o r g
praktmes	p ɾ a k t ˈm eː s
praktmes	/ e n . w i k t i o n a r y . o r g
prao	p r a͡ʊ
prao	p r ɑː . ʊ
praoa	² p r a͡ʊ a
prat	p r ɑː t
prata	ˈp r ɑː ˌt a
pratshow	/ e n . w i k t i o n a r y . o r g
precis	p r ɛ ˈs iː s
precis	p r ɛ ˈs iː s
precis	p r ɛ ˈs ɪ s
precis	p r ɛ ˈs iː s
precis	p r ɛ ˈs ɪ s
presens	ˈp r eː s ɛ n s
present	p r e ˈs e n t
pressmeddelande	² p r ɛ s m eː ˌd eː l a n d ɛ
pretentiös	p r ɛ t a n ˈɧ øː s
pretentiös	/ e n . w i k t i o n a r y . o r g
pretentiöst	p r ɛ t a n ˈɧ œː s t
Preussen	¹ p r ɔ j s ɛ n
Preussen	/ e n . w i k t i o n a r y . o r g
prilla	ˈp r ɪ lː ˌa
primitiv	/ e n . w i k t i o n a r y . o r g
princip	p r ɪ n ˈs iː p
princip	/ e n . w i k t i o n a r y . o r g
pris	p r iː s
privatjet	p r ɪ ² v ɑː t ‿ j ɛ t
problem	p r ʊ ˈb l eː m
problem	p ɾ ɔ b . l ɛ m
problem	ˈp r ɔ b l ɛ m
problem	ˈp r ɔ b l a m
problem	ˈp r ɔ b l ɛ m
procent	p r ʊ ˈs ɛ n t
process	p r ʊ ˈs ɛ s
prognos	p r ɔ ɡ ˈn oː s
prosa	ˈp r uː ˌs a
prosit	ˈp r uː s ɪ t
proton	p r ʊ ˈt oː n
prutgås	ˌp ɾ ʉː t ˈɡ oː s
prutgås	/ e n . w i k t i o n a r y . o r g
prutt	p r ɵ tː
prutta	ˈp r ɵ ˌtː a
prärielöpare	ˌp r ɛː r ɪ j ɛ ˈl øː p a r e
prärielöpare	/ e n . w i k t i o n a r y . o r g
prärietrana	ˌp ɾ ɛː ɾ ɪ j ɛ ˈt ɾ ɑː n a
prärietrana	/ e n . w i k t i o n a r y . o r g
prärievarg	² p r ɛː r ɪ ɛ ˌv a r j
pröva	p r øː v a
prövning	² p r ø v n ɪ ŋ
puka	² p ʉ̟ː k a
pulka	ˈp ɵ l ˌk a
pumla	² p ɵ m l a
pumla	/ e n . w i k t i o n a r y . o r g
pungmes	p ɵ ŋ ˈm eː s
punkt	p ɵ ŋ k t
punktlig	ˈp ɵ ŋ k t ˌl ɪ ɡ
punktlig	ˈp ɵ ŋ t ˌl ɪ ɡ
purpurhäger	p ɵ r p ɵ r ˈh ɛ ɡ ɛ r
pusha	² p ɵ ɧ a
pusha	² p ʊ ɧ a
puss	p ɵ s
pussa	p ɵ . s a
pys	ˈp yː s
pys	p ɨː s
pys	p ɨː s
pys	p iː s
pys	/ e n . w i k t i o n a r y . o r g
pyttipanna	p ʏ t ɪ ² p a n a
pyttipanna	/ e n . w i k t i o n a r y . o r g
pära	² p æː r a
päron	ˈp æː ˌr ɔ n
på	p oː
påbörja	/ e n . w i k t i o n a r y . o r g
påbörja	/ e n . w i k t i o n a r y . o r g
påbörja	/ e n . w i k t i o n a r y . o r g
påg	p oː ɡ
påg	/ e n . w i k t i o n a r y . o r g
pålägg	² p oː ˌl ɛ ɡ
påskalamm	² p ɔ s k a ˌl a m
påskalamm	/ e n . w i k t i o n a r y . o r g
påskas	² p ɔ s k a s
påskas	/ e n . w i k t i o n a r y . o r g
påskkärring	² p ɔ s k ˌɕ ɛ r ɪ ŋ
påskmust	² p ɔ s k ˌm ɵ s t
påskmust	/ e n . w i k t i o n a r y . o r g
påtår	ˈp oː ˌt oː r
pöl	p øː l
rabatt	r a ˈb a t
rabba	² r a b a
rabbemos	² r a b ɛ ˌm uː s
rabbis	ˈr a b ɪ s
rabbis	/ e n . w i k t i o n a r y . o r g
radar	ˈr ɑː d a r
radar	ɾ a ˈd a ɾ
radar	/ e n . w i k t i o n a r y . o r g
radon	r a ˈd oː n
Ragge	² r a ɡ ɛ
Ragnarök	ˈr a ŋ n a ˌr øː k
rajd	r a j d
rajd	/ e n . w i k t i o n a r y . o r g
rallhäger	r a l ˈh ɛ ɡ ɛ r
ram	r ɑː m
ram	/ e n . w i k t i o n a r y . o r g
ram	/ e n . w i k t i o n a r y . o r g
ram	/ e n . w i k t i o n a r y . o r g
ram	/ e n . w i k t i o n a r y . o r g
rand	ˈr a n d
rand	r ɑː n
rand	r ɒ nː
rand	r æ̃ː t
rand	r ɑ̃ː t
rand	r ẽː d
rand	/ e n . w i k t i o n a r y . o r g
ras	r ɑː s
ras	r aː s
ras	/ e n . w i k t i o n a r y . o r g
rationell	r a t ɧ ʊ ˈn ɛ l
rauk	ˈr a͜ʊ k
rauk	r ɞ́ː k
rauk	r ɞ́ ʊ̯ː t͡ɕ
rauk	r ɑ́ ʊ̯ː k
rauk	r é ʊ̯ː k
rauk	/ e n . w i k t i o n a r y . o r g
realisationsvinstbeskattning	r eː a l ɪ s a ² ɧ uː n s v ɪ n s t b ɛ ˌs k a t n ɪ ŋ
recept	r ɛ s ɛ p t
red	r eː d
red	r e d
red	r e d
reform	r e ˈf ɔ r m
reform	ɾ ɛ ˈf o ɾ m
regera	r ɛ ˈj eː r a
regering	r ɛ ˈj eː r ɪ ŋ
regga	² r ɛ ɡ a
regi	r ɛ ˈɧ iː
regi	ˈr ɛ ɡ i
regi	ˈr ɛ ɡ i
regi	ˈr eː ɡ i
regi	ˈr ɛ ɡ i
regim	r ɛ ˈɧ iː m
regim	/ e n . w i k t i o n a r y . o r g
regissör	r ɛ ɧ ɪ ˈs øː r
register	r ɛ ˈj ɪ s t ɛ r
registrera	r ɛ ɡ ɪ s ˈt r eː r a
registrera	r ɛ j ɪ s ˈt r eː r a
regn	r ɛ ŋ n
regna	ˈr e ŋ ˌn a
rejäl	r ɛ j ɛː l
reklam	r ɛ ˈk l ɑː m
reklam	ɾ e c . l a m
reklamera	r ɛ k l a ˈm eː r a
rekommendera	r ɛ k ʊ m ɛ n ˈd eː r a
relation	r ɛ l a ˈɧ uː n
relativitet	r ɛ l a t ɪ v ɪ ˈt eː t
relativitetsteori	r ɛ l a t ɪ v ɪ ² t eː t s t ɛ ʊ ˌr iː
religion	r ɛ l ɪ ˈj uː n
religiös	r ɛ l ɪ ˈɧ øː s
religiös	/ e n . w i k t i o n a r y . o r g
renommé	r ɛ n ɔ ˈm eː
renommé	/ e n . w i k t i o n a r y . o r g
renommésnyltning	r ɛ n ɔ ˈm eː ˌs n ʏ l t n ɪ ŋ
rent	r eː n t
rep	ˈr eː p
rep	/ e n . w i k t i o n a r y . o r g
rep	/ e n . w i k t i o n a r y . o r g
rep	/ e n . w i k t i o n a r y . o r g
rep	/ e n . w i k t i o n a r y . o r g
rep	/ e n . w i k t i o n a r y . o r g
replokal	² r eː p l ʊ ˌk ɑː l
reson	r ɛ ˈs uː n
reson	/ e n . w i k t i o n a r y . o r g
restaurang	r ɛ s t ɵ ˈr a ŋ
restaurang	r ɛ s t a ʊ̯ ˈr a ŋ
resultat	r ɛ s ɵ l ˈt ɑː t
resultat	/ e n . w i k t i o n a r y . o r g
rev	r eː v
rev	/ e n . w i k t i o n a r y . o r g
revolution	r ɛ v ʊ l ɵ ˈɧ uː n
Reykjavik	² r ɛ j k j a ˌv iː k
ribbstol	² r ɪ b ˌs t uː l
rik	r iː k
rik	r ɛ k
rik	r ɛ k
rik	/ e n . w i k t i o n a r y . o r g
rike	ˈr iː ˌk ɛ
riksrätt	² r ɪ k s ˌr ɛ tː
rikssvenska	² r ɪ k s ˌs v ɛ n s k a
riktig	² r ɪ kː t ɪ ɡ
ringand	ˌɾ ɪ ŋ ˈa n d
ringand	/ e n . w i k t i o n a r y . o r g
ringduva	ˌɾ ɪ ŋ ˈd ʉː v a
ringduva	/ e n . w i k t i o n a r y . o r g
ris	ˈr iː s
Robert	¹ r oː b ɛ ʈ
Robert	¹ r oː b æ ʈ
rock	¹ r ɔ k
rock	/ e n . w i k t i o n a r y . o r g
rock	/ e n . w i k t i o n a r y . o r g
Roffe	² r ɔ f ɛ
rom	r ɔ m
rom	r ʊ m
rom	r ɔ m
rom	r ɔ m
rom	r ɔ m
rom	r ʊ m
rom	r oː m
rom	r oː m
rom	r oː m
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	r ʊ m
rom	r ɔ m
rom	r ɔ m
rom	r ɔ m
rom	r ʊ m
rom	r oː m
rom	r oː m
rom	r oː m
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	r ɔ m
rom	r ʊ m
rom	r oː m
rom	r oː m
rom	r oː m
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	r ʊ m
rom	r oː m
rom	r oː m
rom	r oː m
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	r oː m
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
rom	/ e n . w i k t i o n a r y . o r g
romare	² r ʊ ˌm a r ɛ
ros	r uː s
rosa	ˈr oː ˌs a
rosa	ˈr uː ˌs a
rosenstare	ˈr uː s ɛ n ˌs t ɑː r ɛ
rosentärna	ˌr uː s ɛ n ˈt ɜ r n a
rosett	r ʊ ˈs ɛ t
roskarl	ˌr uː s ˈk ɑː r l
roskarl	/ e n . w i k t i o n a r y . o r g
rostand	ˌɾ ɔ s t ˈa n d
rostand	/ e n . w i k t i o n a r y . o r g
rostgumpsvala	r ɔ s t ɡ ɵ m p ˈs v ɑː l a
rostmes	r ɔ s t ˈm eː s
rostmes	/ e n . w i k t i o n a r y . o r g
rot	r uː t
rotmos	² r uː t ˌm uː s
rotting	² r ɔ t ɪ ŋ
rotting	/ e n . w i k t i o n a r y . o r g
rov	r uː v
rov	ʈ ɒ ˧˦
rova	² r uː v a
rova	/ e n . w i k t i o n a r y . o r g
ruckel	ˈr ɵ k ɛ l
rulle	² r ɵ l ɛ
rum	r ɵ m
rum	/ e n . w i k t i o n a r y . o r g
rum	/ e n . w i k t i o n a r y . o r g
rum	/ e n . w i k t i o n a r y . o r g
rumänska	r ɵ ˈm ɛ n s ˌk a
rumänska	r ɵ ˈm ɛ n s k a
russin	² r ɵ s ɪ n
russin	/ e n . w i k t i o n a r y . o r g
Rwanda	² r v a n d a
rygg	/ e n . w i k t i o n a r y . o r g
rysa	/ e n . w i k t i o n a r y . o r g
ryska	² r ʏ s k a
ryssja	² r ʏ ɧː a
ryttare	r ʏ ˈt a r e
räd	r ɛː d
räd	/ e n . w i k t i o n a r y . o r g
rälig	ˈr ɛː l ɪ ɡ
ränna	ˈr ɛ ˌn a
räv	r ɛː v
rävar	r ɛː v a r
räven	/ e n . w i k t i o n a r y . o r g
rävtik	² r ɛː v ˌt iː k
rävtik	/ e n . w i k t i o n a r y . o r g
rävtikar	r ɛː v t iː k a r
rävtiken	r ɛː v t iː k ɛ n
rävunge	ˈr ɛː v ˌɵ ŋ ɛ
rå	r oː
råd	r oː d
